Amsterdam	Madrid	Business	10.1.2019	12607	671	33,55
Amsterdam	Moskova	Business	11.1.2019	13827	745	37,25
Amsterdam	Münih	Business	12.1.2019	19834	526	26,3
Amsterdam	Newyork	Business	13.1.2019	20688	866	43,3
Amsterdam	Paris	Business	14.1.2019	10220	781	39,05
Amsterdam	Pekin	Business	15.1.2019	17206	776	38,8
Amsterdam	Roma	Business	16.1.2019	19548	932	46,6
Amsterdam	Halep	Business	17.1.2019	12469	693	34,65
Amsterdam	Sydney	Business	18.1.2019	23064	505	25,25
Amsterdam	Tokyo	Business	10.1.2019	22231	500	25
Amsterdam	Zürih	Business	11.1.2019	24446	588	29,4
Amsterdam	Antalya	Business	12.1.2019	11712	875	43,75
Amsterdam	Cape Town	Business	13.1.2019	16966	515	25,75
Amsterdam	Honk Kong	Business	14.1.2019	16572	879	43,95
Amsterdam	‹stanbul	Business	15.1.2019	10426	660	33
Amsterdam	‹sveç	Business	16.1.2019	22238	901	45,05
Amsterdam	Lille	Business	17.1.2019	15863	969	48,45
Amsterdam	Londra	Business	18.1.2019	12785	709	35,45
Amsterdam	Los Angele	Business	10.1.2019	20229	768	38,4
Antalya	Moskova	Business	11.1.2019	22774	789	39,45
Antalya	Münih	Business	12.1.2019	24612	550	27,5
Antalya	Newyork	Business	13.1.2019	17442	801	40,05
Antalya	Paris	Business	14.1.2019	14707	706	35,3
Antalya	Pekin	Business	15.1.2019	22098	731	36,55
Antalya	Roma	Business	16.1.2019	10430	522	26,1
Antalya	Halep	Business	17.1.2019	17659	784	39,2
Antalya	Sydney	Business	18.1.2019	12735	826	41,3
Antalya	Tokyo	Business	10.2.2019	10772	726	36,3
Antalya	Zürih	Business	11.2.2019	23947	658	32,9
Antalya	Cape Town	Business	12.2.2019	24611	580	29
Antalya	Honk Kong	Business	13.2.2019	20580	606	30,3
Antalya	‹stanbul	Business	14.2.2019	16155	585	29,25
Antalya	‹sveç	Business	15.2.2019	18578	739	36,95
Antalya	Lille	Business	16.2.2019	16848	876	43,8
Antalya	Londra	Business	17.2.2019	14836	718	35,9
Antalya	Los Angele	Business	18.2.2019	12993	532	26,6
Antalya	Madrid	Business	19.2.2019	19598	832	41,6
Cape Town	Münih	Business	20.2.2019	12987	935	46,75
Cape Town	Newyork	Business	21.2.2019	18725	665	33,25
Cape Town	Paris	Business	22.2.2019	13629	891	44,55
Cape Town	Pekin	Business	11.2.2019	11678	556	27,8
Cape Town	Roma	Business	12.2.2019	18771	762	38,1
Cape Town	Halep	Business	13.2.2019	14525	510	25,5
Cape Town	Sydney	Business	14.2.2019	24636	588	29,4
Cape Town	Tokyo	Business	15.2.2019	11018	673	33,65
Cape Town	Zürih	Business	16.2.2019	22441	563	28,15
Cape Town	Amsterdam	Business	17.2.2019	10271	607	30,35
Cape Town	Antalya	Business	18.2.2019	20632	906	45,3
Cape Town	Honk Kong	Business	19.2.2019	20301	536	26,8
Cape Town	‹stanbul	Business	20.2.2019	24959	527	26,35
Cape Town	‹sveç	Business	21.2.2019	16544	892	44,6
Cape Town	Lille	Business	22.2.2019	15975	547	27,35
Cape Town	Londra	Business	22.2.2019	21707	702	35,1
Cape Town	Los Angele	Business	11.2.2019	22765	768	38,4
Cape Town	Madrid	Business	12.2.2019	14198	791	39,55
Cape Town	Moskova	Business	13.2.2019	11182	672	33,6
Honk Kong	Newyork	Business	14.2.2019	15051	848	42,4
Honk Kong	Cape Town	Business	15.2.2019	15542	777	38,85
Honk Kong	‹stanbul	Business	16.2.2019	21262	646	32,3
Honk Kong	‹sveç	Business	17.2.2019	13041	624	31,2
Honk Kong	Lille	Business	18.2.2019	14778	594	29,7
Honk Kong	Londra	Business	19.2.2019	24789	956	47,8
Honk Kong	Los Angele	Business	20.2.2019	21974	681	34,05
Honk Kong	Madrid	Business	21.2.2019	20713	564	28,2
Honk Kong	Moskova	Business	22.2.2019	16074	789	39,45
Honk Kong	Münih	Business	10.3.2019	20965	702	35,1
Honk Kong	Paris	Business	11.3.2019	17955	557	27,85
Honk Kong	Pekin	Business	12.3.2019	19458	667	33,35
Honk Kong	Roma	Business	13.3.2019	16714	970	48,5
Honk Kong	Halep	Business	14.3.2019	17507	643	32,15
Honk Kong	Sydney	Business	11.3.2019	15965	839	41,95
Honk Kong	Tokyo	Business	12.3.2019	14087	983	49,15
Honk Kong	Zürih	Business	13.3.2019	12465	787	39,35
Honk Kong	Amsterdam	Business	14.3.2019	19155	961	48,05
‹stanbul	Paris	Business	15.3.2019	13417	855	42,75
‹stanbul	Amsterdam	Business	16.3.2019	10826	886	44,3
‹stanbul	Antalya	Business	17.3.2019	24927	508	25,4
‹stanbul	Cape Town	Business	18.3.2019	19761	735	36,75
